CountryName,LifeExpectancy,Population,GDP,GDPpercapita,Continent
Oman,77.32419512,4490541,69830949285,15550.67625,Asia
Pakistan,66.37697561,188924874,2.7105E+11,1434.696665,Asia
Panama,77.76729268,3929141,52132289747,13268.11375,America
Peru,74.78073171,31376670,1.89111E+11,6027.125855,America
Philippines,68.4067561,100699395,2.92451E+11,2904.202082,Asia
Palau,69.12926829,21291,287400000,13498.66141,Oceania
Papua New Guinea,62.77668293,7619321,16928680397,2268.172539,Oceania
Poland,78.20487805,37986412,4.77066E+11,12558.87117,Europe
Puerto Rico,79.57231707,3474182,1.03135E+11,28703.73237,America
Portugal,81.52195122,10358076,1.99113E+11,19222.935,Europe
Paraguay,73.02563415,6639123,27093938619,4080.951448,America
West Bank and Gaza,73.07419512,4422143,12677399995,2866.8001,Asia
French Polynesia,76.75241463,282764,3447543138,14530.22602,Oceania
Qatar,78.76258537,2235355,1.64641E+11,73653.39443,Asia
Romania,74.96097561,19815308,1.77954E+11,8980.65727,Europe
Russian Federation,70.90853659,144096870,1.36587E+12,9329.298351,Asia
Rwanda,64.52453659,11609666,8095980014,697.3482281,Africa
Saudi Arabia,74.49334146,31540372,6.46002E+11,20481.74532,Asia
Sudan,63.71073171,40234882,97156119150,2414.723601,Africa
Senegal,66.80441463,15129273,13609989582,899.5798795,Africa
Singapore,82.59512195,5535002,2.92739E+11,52888.74467,Asia
Solomon Islands,68.1462439,583591,1129164719,1934.856293,Oceania
Sierra Leone,51.30817073,6453184,4214779785,653.1318159,Africa
El Salvador,73.00109756,6126583,25850200000,4219.35033,America
San Marino,83.32321508,31781,1899879955,62993.36722,Europe
Somalia,55.68558537,10787104,5925000000,549.2669766,Africa
Serbia,75.48780488,7095383,37160332465,5237.255334,Europe
South Sudan,56.1115122,12339812,9015221096,730.5801009,Africa
Sao Tome and Principe,66.51370732,190344,317696179,1669.063268,Africa
Suriname,71.29417073,542975,5150291217,9485.319244,America
Slovak Republic,77.21219512,5423801,87263622047,16089.01618,Europe
Slovenia,81.07804878,2063531,42774769768,20728.92036,Europe
Sweden,82.55121951,9799186,4.95694E+11,50585.25847,Europe
Swaziland,48.87395122,1286970,4118488059,3200.143018,Africa
Seychelles,73.22926829,93419,1437722206,15390.04064,Africa
Syrian Arab Republic,70.08931707,18502413,40405006007,2079.987864,Asia
Chad,51.87331707,14037472,10888798114,775.6950905,Africa
Togo,60.1207561,7304578,4087903913,559.6358767,Africa
Thailand,74.60119512,67959359,3.95168E+11,5814.769764,Asia
Tajikistan,69.76843902,8481855,7853450374,925.9118877,Asia
Turkmenistan,65.73643902,5373502,35854571429,6672.477544,Asia
Timor-Leste,68.52641463,1184765,1441718600,1216.881491,Asia
Tonga,72.94404878,106170,435142409,4098.543929,Oceania
Trinidad and Tobago,70.55770732,1360088,23559287484,17321.88468,America
Tunisia,74.97597561,11253554,43015089723,3822.356006,Africa
Turkey,75.42621951,78665830,7.1788E+11,9125.68759,Asia
Tanzania,65.4874878,53470420,45628247290,878.9751055,Africa
Uganda,59.17907317,39032383,27529249701,705.2925695,Africa
Ukraine,71.1895122,45154029,90615023324,2114.954716,Europe
Uruguay,77.13821951,3431555,53442697569,15573.90092,America
United States,78.74146341,321418820,1.80366E+13,56115.71843,America
Uzbekistan,68.45307317,31298900,66732736498,2132.11124,Asia
St. Vincent and the Grenadines,73.05236585,109462,737683556,6739.174833,America
Venezuela. RB,74.40960976,31108083,3.71337E+11,12265.03114,America
Virgin Islands (U.S.),79.87317073,103574,3765000000,36350.82163,America
Vietnam,75.77773171,91713300,1.93599E+11,2110.919344,Asia
Vanuatu,72.15736585,264652,742432131,2805.314644,Oceania
Samoa,73.76487805,193228,761037916,3938.548846,Oceania
Kosovo,71.34634146,1801800,6400687590,3552.385165,Europe
Yemen. Rep.,64.03139024,26832215,37733919936,1406.291651,Asia
South Africa,57.44090244,55011976.68,3.14572E+11,5718.244732,Africa
Zambia,60.78568293,16211767,21154394546,1304.879014,Africa
Zimbabwe,59.16107317,15602751,14419185900,924.1438193,Africa
