Country Name,Population total,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Improved sanitation facilities (% of population with access),Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)"
Cambodia,15577899,18049954289.4229,1158.6899035244,56.1,49.2,82.8355640192418,42.4,75.5,69.1,100
Kiribati,112423,160121929.231463,1424.28087874779,48.0785179138184,22.2043743133545,80.7788372737883,39.7,66.9,50.6,87.3
St. Kitts and Nevis,55572,876478555.555555,15771.9455041308,100,100,100,,98.3,98.3,98.3
"Korea, Rep.",50617045,1377873107856.33,27221.5240509661,100,100,100,100,,,99.7
Kuwait,3892115,114041209704221,29300.5755750333,100,100,100,100,99,99,99
Lao PDR,6802023,12369080042.8375,1818.44137293236,78.0885009765625,68.0962677001953,94.7060342774355,70.9,75.7,69.4,85.6
Lebanon,5850743,47084703150.9121,8047.64508557496,100,100,100,80.7,99,99,99
Liberia,4503438,2053000000,455.873934536237,9.14063453674316,1.70958781242371,16.7802582868487,16.9,75.6,62.6,88.6
Libya,6278438,,,98.4460296630859,92.3025283813477,100,96.6,,,
St. Lucia,184999,1431135703.7037,7735.91048440102,98.1638107299805,96.7414932250977,100,90.5,96.3,95.6,99.5
Liechtenstein,37531,,,100,100,100,,,,
Sri Lanka,20966000,82316172384325,3926.17439589454,92.1912460327148,90.9413299560547,97.7640163226183,95.1,95.6,95,98.5
Lesotho,2135022,2278037785.7279,1066.98562625017,27.8,11.8,71.5259841460587,30.3,81.8,77,94.6
Lithuania,2904910,41400137850.7264,14251.7798660635,100,100,100,92.4,96.6,90.4,99.7
Luxembourg,569604,56799626261.5061,99717.7447165154,100,100,100,97.6,100,100,100
Latvia,1977527,27002832427.6367,13654.8489237501,100,100,100,87.8,99.3,98.3,99.8
"Macao SAR, China",587606,46177532874139,78585.8770573122,100,100,100,,,,
St. Martin (French part),31754,,,100,100,,,,,
Morocco,34377511,100593283696732,2878.20134215919,91.6,84.6,96.3254895270115,76.7,85.4,65.3,98.7
Monaco,37731,,,100,100,100,100,100,,100
Moldova,3554108,6568288861.76807,1848.0836434256,100,100,100,76.4,88.4,81.4,96.9
Madagascar,24235390,9738652322.17322,401.836006029745,16.8189811706543,10.6660223007202,28.5172434270797,12,51.5,35.3,81.6
Maldives,409163,3435244658.76626,8395.78519750383,100,100,100,97.9,98.6,97.9,99.5
Mexico,127017224,1143793184190.1,9005.02426497766,99.172928,97.52599,99.6114872115938,85.2,96.1,92.1,97.2
Marshall Islands,52993,179432573.764399,3385.96746295547,90.0197906494141,80.6297149658203,93.5950832284797,76.9,94.6,97.6,93.5
"Macedonia, FYR",2078453,10086021261.4631,4852.6578476699,100,100,100,90.9,99.4,98.9,99.8
Mali,17599694,12746688961.7795,724.256283193304,27.293140411377,11.8311834335327,51.3323867989875,24.7,77,64.1,96.5
Malta,431874,9746478873.23944,22567.8759852166,100,100,100,100,100,100,100
Myanmar,53897154,62600906116.0987,1161.48815791087,52,49,57.9416113861233,79.6,80.6,74.4,92.7
Montenegro,622159,3987061627.51107,6408.42875777906,100,100,100,95.9,99.7,99.2,100
Mongolia,2959134,11741338841.1132,3967.82938559498,85.5676956176758,50.8465118408203,99.5971636038112,59.7,64.4,59.2,66.4
Northern Mariana Islands,55070,922000000,16742.3279462502,100,100,100,79.7,97.5,97.5,97.5
Mozambique,27977863,14807075727.4667,529.242556068943,21.2199840545654,5.96874189376831,53.7273735089694,20.5,51.1,37,80.6
Mauritania,4067564,,,38.8,2.3,63.8981850615657,40,57.9,57.1,58.4
Mauritius,1262605,11681761261.0428,9252.11072429051,99.1661758422852,78.7880325317383,100,93.1,99.9,99.8,99.9
Malawi,17215232,6403820949.24856,371.985747810344,11.9,4.7,49.414936222924,41,90.2,89.1,95.7
Malaysia,30331007,296283190372552,9768.32686011881,100,100,100,96,98.2,93,100
Namibia,2458830,11491507355.6498,4673.56724769495,49.5637817382813,21.2948398590088,83.1823002796854,34.4,91,84.6,98.2
New Caledonia,273000,,,100,100,100,100,98.5,98.5,98.5
Niger,19899120,7142951342.4223,358.958152040005,14.3096446990967,5.43570232391357,53.4834766583754,10.9,58.2,48.6,100
Nigeria,182201962,486792837970.54,2671.7211638508,57.6521377563477,39.304630279541,78.3901135428725,29,68.5,57.3,80.8
Nicaragua,6082032,12692562187.4933,2086.89500277099,81.853073,57.14328,99.4118713479464,67.9,87,69.4,99.3
Netherlands,16939923,750283908173.45,44290.8688648378,100,100,100,97.7,100,100,100
Norway,5190239,386578443732562,74481.8193791387,100,100,100,98.1,100,100,100
Nepal,28513700,21194888047.8339,743.322965726435,84.9,81.7,99.240974276812,45.8,91.6,91.8,90.9
Nauru,12475,100459772.832386,8052.88760179449,99.2143936157227,,,65.6,96.5,,96.5
New Zealand,4595700,173754075210516,37807.9672760442,100,100,100,,100,100,100
Oman,4490541,69830949284.7854,15550.6762514328,100,100,100,96.7,93.4,86.1,95.5
Pakistan,188924874,271049886672733,1434.69666504969,97.5348434448242,95.6250381469727,100,63.5,91.4,89.9,93.9
Panama,3929141,52132289747.1731,13268.1137549335,91.5969619750977,65.6589813232422,100,75,94.7,88.6,97.7
Peru,31376670,189111139010075,6027.12585529551,92.919989,74.504761,98.0280770030841,76.2,86.7,69.2,91.4
Philippines,100699395,292451392606609,2904.20208191528,89.1257705688477,82.5474319458008,97.3342029487268,73.9,91.8,90.3,93.7
Palau,21291,287400000,13498.661406228,99.8103,98.6,99.9999506058446,100,,,97
Papua New Guinea,7619321,,,20.2644500732422,11.8942384719849,76.3548906883996,18.9,40,32.8,88
Poland,37986412,477066454436928,12558.8711678515,100,100,100,97.2,98.3,96.9,99.3
Puerto Rico,3474182,,,100,100,100,99.3,,,
"Korea, Dem. People’s Rep.",25155317,,,32.3727493286133,,,81.9,99.7,99.4,99.9
Portugal,10358076,199112621714539,19222.9350040045,100,100,100,99.7,100,100,100
Paraguay,6639123,27093938619.3333,4080.95144785437,99.000716,97.74687,99.8571534767685,88.6,98,94.9,100
