Country Name,Population total,GDP (current US$),GDP per capita (current US$),Access to electricity (% of population),"Access to electricity, rural (% of rural population)","Access to electricity, urban (% of urban population)",Improved sanitation facilities (% of population with access),Improved water source (% of population with access),"Improved water source, rural (% of rural population with access)","Improved water source, urban (% of urban population with access)",maximum percentage
Kiribati,112423,160121929.2,1424.280879,48.07851791,22.20437431,80.77883727,39.7,66.9,50.6,87.3,100
St. Kitts and Nevis,55572,876478555.6,15771.9455,100,100,100,0,98.3,98.3,98.3,100
"Korea, Rep.",50617045,1.38E+12,27221.52405,100,100,100,100,0,0,99.7,100
Kuwait,3892115,1.14E+14,29300.57558,100,100,100,100,99,99,99,100
Lao PDR,6802023,12369080043,1818.441373,78.08850098,68.0962677,94.70603428,70.9,75.7,69.4,85.6,100
Lebanon,5850743,47084703151,8047.645086,100,100,100,80.7,99,99,99,100
Liberia,4503438,2053000000,455.8739345,9.140634537,1.709587812,16.78025829,16.9,75.6,62.6,88.6,100
Libya,6278438,0,0,98.44602966,92.30252838,100,96.6,0,0,0,100
St. Lucia,184999,1431135704,7735.910484,98.16381073,96.74149323,100,90.5,96.3,95.6,99.5,100
Liechtenstein,37531,0,0,100,100,100,0,0,0,0,100
Sri Lanka,20966000,8.23E+13,3926.174396,92.19124603,90.94132996,97.76401632,95.1,95.6,95,98.5,100
Lesotho,2135022,2278037786,1066.985626,27.8,11.8,71.52598415,30.3,81.8,77,94.6,100
Lithuania,2904910,41400137851,14251.77987,100,100,100,92.4,96.6,90.4,99.7,100
Luxembourg,569604,56799626262,99717.74472,100,100,100,97.6,100,100,100,100
Latvia,1977527,27002832428,13654.84892,100,100,100,87.8,99.3,98.3,99.8,100
"Macao SAR, China",587606,4.62E+13,78585.87706,100,100,100,0,0,0,0,100
St. Martin (French part),31754,0,0,100,100,0,0,0,0,0,100
Morocco,34377511,1.01E+14,2878.201342,91.6,84.6,96.32548953,76.7,85.4,65.3,98.7,100
Monaco,37731,0,0,100,100,100,100,100,0,100,100
Moldova,3554108,6568288862,1848.083643,100,100,100,76.4,88.4,81.4,96.9,100
Madagascar,24235390,9738652322,401.836006,16.81898117,10.6660223,28.51724343,12,51.5,35.3,81.6,100
Maldives,409163,3435244659,8395.785198,100,100,100,97.9,98.6,97.9,99.5,100
Mexico,127017224,1.14E+12,9005.024265,99.172928,97.52599,99.61148721,85.2,96.1,92.1,97.2,100
Marshall Islands,52993,179432573.8,3385.967463,90.01979065,80.62971497,93.59508323,76.9,94.6,97.6,93.5,100
"Macedonia, FYR",2078453,10086021261,4852.657848,100,100,100,90.9,99.4,98.9,99.8,100
Mali,17599694,12746688962,724.2562832,27.29314041,11.83118343,51.3323868,24.7,77,64.1,96.5,100
Malta,431874,9746478873,22567.87599,100,100,100,100,100,100,100,100
Myanmar,53897154,62600906116,1161.488158,52,49,57.94161139,79.6,80.6,74.4,92.7,100
Montenegro,622159,3987061628,6408.428758,100,100,100,95.9,99.7,99.2,100,100
Mongolia,2959134,11741338841,3967.829386,85.56769562,50.84651184,99.5971636,59.7,64.4,59.2,66.4,100
Northern Mariana Islands,55070,922000000,16742.32795,100,100,100,79.7,97.5,97.5,97.5,100
Mozambique,27977863,14807075727,529.2425561,21.21998405,5.968741894,53.72737351,20.5,51.1,37,80.6,100
Mauritania,4067564,0,0,38.8,2.3,63.89818506,40,57.9,57.1,58.4,100
Mauritius,1262605,11681761261,9252.110724,99.16617584,78.78803253,100,93.1,99.9,99.8,99.9,100
Malawi,17215232,6403820949,371.9857478,11.9,4.7,49.41493622,41,90.2,89.1,95.7,100
Malaysia,30331007,2.96E+14,9768.32686,100,100,100,96,98.2,93,100,100
Namibia,2458830,11491507356,4673.567248,49.56378174,21.29483986,83.18230028,34.4,91,84.6,98.2,100
New Caledonia,273000,0,0,100,100,100,100,98.5,98.5,98.5,100
Niger,19899120,7142951342,358.958152,14.3096447,5.435702324,53.48347666,10.9,58.2,48.6,100,100
Nigeria,182201962,4.87E+11,2671.721164,57.65213776,39.30463028,78.39011354,29,68.5,57.3,80.8,100
Nicaragua,6082032,12692562187,2086.895003,81.853073,57.14328,99.41187135,67.9,87,69.4,99.3,100
Netherlands,16939923,7.50E+11,44290.86886,100,100,100,97.7,100,100,100,100
Norway,5190239,3.87E+14,74481.81938,100,100,100,98.1,100,100,100,100
Nepal,28513700,21194888048,743.3229657,84.9,81.7,99.24097428,45.8,91.6,91.8,90.9,100
Nauru,12475,100459772.8,8052.887602,99.21439362,0,0,65.6,96.5,0,96.5,100
New Zealand,4595700,1.74E+14,37807.96728,100,100,100,0,100,100,100,100
Oman,4490541,69830949285,15550.67625,100,100,100,96.7,93.4,86.1,95.5,100
Pakistan,188924874,2.71E+14,1434.696665,97.53484344,95.62503815,100,63.5,91.4,89.9,93.9,100
Panama,3929141,52132289747,13268.11375,91.59696198,65.65898132,100,75,94.7,88.6,97.7,100
Peru,31376670,1.89E+14,6027.125855,92.919989,74.504761,98.028077,76.2,86.7,69.2,91.4,100
Philippines,100699395,2.92E+14,2904.202082,89.12577057,82.54743195,97.33420295,73.9,91.8,90.3,93.7,100
Palau,21291,287400000,13498.66141,99.8103,98.6,99.99995061,100,0,0,97,100
Papua New Guinea,7619321,0.00E+00,0,20.26445007,11.89423847,76.35489069,18.9,40,32.8,88,100
Poland,37986412,4.77E+14,12558.87117,100,100,100,97.2,98.3,96.9,99.3,100
Puerto Rico,3474182,0.00E+00,0,100,100,100,99.3,0,0,0,100
"Korea, Dem. People’s Rep.",25155317,0.00E+00,0,32.37274933,0,0,81.9,99.7,99.4,99.9,100
Portugal,10358076,1.99E+14,19222.935,100,100,100,99.7,100,100,100,100
Paraguay,6639123,27093938619,4080.951448,99.000716,97.74687,99.85715348,88.6,98,94.9,100,100
West Bank and Gaza,4422143,12677399995,2866.8001,99.9,100,99.86671287,92.3,58.4,81.5,50.7,100
French Polynesia,282764,0.00E+00,0,100,100,100,98.5,100,100,100,100
Qatar,2235355,1.65E+14,73653.39443,100,100,100,98,100,100,100,100
Romania,19815308,1.78E+14,8980.65727,100,100,100,79.1,100,100,100,100
Russian Federation,144096870,1.37E+12,9329.298351,100,100,100,72.2,96.9,91.2,98.9,100
